nvc_name,highest_constancy,example_community,resolved_name,ellenberg_R,ellenberg_F,ellenberg_L,ellenberg_N,notes
Aneura pinguis,V,SD13,,,,,,
Anthelia julacea,V,M31,,,,,,
Arthrocnemon perenne,V,SM7,,,,,,
Barbilophozia floerkei,V,U18,,,,,,
Bazzania tricrenata,V,H20,,,,,,
Brachythecium rutabulum,V,W5,,,,,,
Bryum erythrocarpum,V,OV36,,,,,,
Bryum pseudotriquetrum,V,M38,,,,,,
Calliergon cuspidatum,V,M13,,,,,,
Campylium stellatum var. stellatum,V,H5,,,,,,
Carex curta,V,M7,,,,,,
Carex serotina,V,MC10,,,,,,
Cetraria glauca,V,H17,,,,,,
Cetraria islandica,V,H13,,,,,,
Cladonia arbuscula,V,H13,,,,,,
Cladonia crispata,V,H13,,,,,,
Cladonia foliacea,V,CG7,,,,,,
Cladonia impexa,V,H16,,,,,,
Cladonia papillaria,V,CG7,,,,,,
Cladonia rangiferina,V,H13,,,,,,
Cladonia uncialis,V,H13,,,,,,
Cornicularia aculeata,V,CG7,,,,,,
Cratoneuron commutatum,V,M11,,,,,,
Ctenidium molluscum,V,CG9,,,,,,
Desmazeria marina,V,MC5,,,,,,
Dicranum fuscescens,V,U8,,,,,,
Dicranum majus,V,W11,,,,,,
Dicranum scoparium,V,H1,,,,,,
Diplophyllum albicans,V,H20,,,,,,
Ditrichum flexicaule sens.lat.,V,CG13,,,,,,
Elymus farctus,V,SD4,,,,,,
Empetrum nigrum subsp.hermaphroditu,V,H13,,,,,,
Empetrum nigrum subsp.nigrum,V,H7,,,,,,
Encalypta vulgaris,V,CG8,,,,,,
Eurhynchium praelongum,V,W5,,,,,,
Fissidens cristatus,V,OV40,,,,,,
Gymnomitrion concinnatum,V,U12,,,,,,
Gymnostomum recurvirostrum,V,M10,,,,,,
Homalothecium lutescens,V,SD8,,,,,,
Honkenya peploides,V,SD2,,,,,,
Hylocomium splendens,V,CG11,,,,,,
Hypnum cupressiforme sens.lat.,V,CG7,,,,,,
Hypnum jutlandicum,V,H12,,,,,,
Juncus gerardi,V,SM16,,,,,,
Kiaeria starkei,V,U11,,,,,,
Loiseleuria procumbens,V,H17,,,,,,
Lolium perenne subsp.perenne,V,MG6,,,,,,
Lophocolea bidentata,V,MG2,,,,,,
Lophozia sudetica,V,U11,,,,,,
Marsupella emarginata,V,M31,,,,,,
Mnium hornum,V,W15,,,,,,
Mylia taylorii,V,H20,,,,,,
Nardia scalaris,V,U12,,,,,,
Pellia epiphylla,V,W5,,,,,,
Peltigera canina,V,CG7,,,,,,
Philonotis fontana,V,M32,,,,,,
Plagiothecium undulatum,V,H21,,,,,,
Pleurozia purpurea,V,H21,,,,,,
Pleurozium schreberi,V,H16,,,,,,
Pohlia wahlenbergii,V,M33,,,,,,
Polytrichum alpinum,V,U8,,,,,,
Polytrichum commune,V,H22,,,,,,
Polytrichum formosum,V,W17,,,,,,
Polytrichum sexangulare,V,U11,,,,,,
Porella platyphylla,V,OV39,,,,,,
Potentilla palustris,V,M5,,,,,,
Pseudoscleropodium purum,V,CG13,,,,,,
Racomitrium heterostichum sens.lat.,V,U12,,,,,,
Racomitrium lanuginosum,V,CG9,,,,,,
Rhizomnium pseudopunctatum,V,M8,,,,,,
Rhytidiadelphus loreus,V,H20,,,,,,
Rhytidiadelphus squarrosus,V,CG10,,,,,,
Rhytidiadelphus triquetrus,V,W18,,,,,,
Salicornia agg.,V,SM10,,,,,,
Salix fragilis,V,W6,,,,,,
Scapania gracilis,V,H21,,,,,,
Sphaerophorus globosus,V,H17,,,,,,
Sphagnum auriculatum,V,M31,,,,,,
Sphagnum capillifolium,V,H21,,,,,,
Sphagnum compactum,V,M16,,,,,,
Sphagnum cuspidatum,V,M2,,,,,,
Sphagnum fimbriatum,V,W2,,,,,,
Sphagnum lindbergii,V,M7,,,,,,
Sphagnum papillosum,V,M18,,,,,,
Sphagnum recurvum,V,M2,,,,,,
Sphagnum squarrosum,V,W2,,,,,,
Sphagnum tenellum,V,M16,,,,,,
